0,1,2,3,target
87,30,65,41,"Ajamodadi
Churna"
45,82,65,41,Lavangadi Vati
76,44,30,21,Kumaryasava
103,24,36,41,Dashamularishta
88,42,25,41,Sitopaladi Churna
80,105,65,41,Panchaguna Taila
117,21,65,41,Jathyadi Ghrita
44,105,65,41,Saindhavadi Taila
71,22,53,23,Ushirasava
38,18,46,41,Navajivana Rasa
45,82,14,41,Eladi Gutika
23,10,11,38,Kalyanaka Ghrita
82,78,65,41,"Shirahshuladi vajra
Rasa"
45,82,14,41,Eladi Gutika
66,79,65,41,"Punarnavadi
Mandura"
116,2,65,41,Lahsunadi Vati
119,105,65,41,Phala Ghrita
6,1,42,41,Yogaraja Guggulu
45,82,52,25,Vyaghri Haritaki
86,54,21,41,Chandanasava
67,105,65,41,Kapardika Bhasma
4,6,65,41,Shankha Bhasma
36,33,65,41,Akika Pishti
45,82,65,41,"Tankana Bhasma/
Saubhagya Bhasma"
45,82,21,41,Dhanvantar Gutika
105,102,17,35,Punarnava Guggulu
21,12,28,9,Triphala Guggulu
118,96,48,41,"Pancha-valkala
Kashaya Churna"
47,8,65,41,Karpuradi Taila
98,36,34,41,Muktashukti Bhasma
55,2,65,41,Sanjivani Vati
73,55,26,4,Gokshuradi Guggulu
22,52,65,41,Brahmi Vati
97,7,65,41,Pippali mula Churna
109,30,65,41,Eranda Taila
91,1,9,8,Jirakadyarishta
82,78,65,41,"Shirahshuladi vajra
Rasa"
58,85,65,41,Sarasvata Churna
7,105,65,41,Avipattikara Churna
25,99,0,13,Balarishta
100,68,51,7,"Puga Khanda/
Supari Paka"
116,2,65,41,Lahsunadi Vati
45,82,65,41,Talishadya Churna
37,69,65,41,Arjuna Churna
108,70,63,17,Kaishora Guggulu
50,103,65,41,"Laghumalini Vasanta
Rasa"
2,105,65,41,Shveta Malaham
47,8,65,41,Karpuradi Taila
66,37,21,41,Navayasa Lauha
43,92,61,41,Aragvadharishta
86,54,21,41,Chandanasava
78,105,65,41,Pushyanuga Churna
38,18,46,41,Navajivana Rasa
4,6,65,41,Shankha Bhasma
102,105,65,41,"Guggulutiktaka
Ghrita"
96,47,65,41,Nalpamaradi Taila
4,31,65,41,"Lavanabhaskara
Churna/
Bhaskarlavan churna"
78,105,65,41,Pushyanuga Churna
45,82,38,15,Kanakasava
45,82,65,41,Eladi Churna
107,62,65,41,Narayana Taila
38,18,46,41,Navajivana Rasa
60,105,65,41,"Khadiradi Gutika
(Mukhroga)"
32,75,0,41,Kutajarishta
89,48,65,41,"Somaraji Taila
/Bakuchi Taila"
21,12,28,9,Triphala Guggulu
16,83,64,41,Ashokarishta
73,68,6,41,"Lodhrasava/Rodh
rasava"
100,68,51,7,"Puga Khanda/
Supari Paka"
102,105,65,41,"Guggulutiktaka
Ghrita"
40,13,0,24,Bilvadi Leha
73,49,65,41,"Nisha-Amalaki
Churna"
109,30,65,41,Eranda Taila
106,22,65,41,Pinda Taila
5,4,0,3,"Dhanyapanchaka
Kashaya Churna"
98,36,34,41,Muktashukti Bhasma
45,82,22,22,Vasavaleha
52,73,65,41,Gandhak Rasayana
94,36,65,41,"Shadanga
Kvatha Churna"
73,68,6,41,"Lodhrasava/Rodh
rasava"
23,10,11,38,Kalyanaka Ghrita
24,2,55,0,Arka Pudina
1,7,65,41,Yavakshar
81,35,65,41,Amritarishta
37,74,65,41,"Jaharamohara
Bhasma"
45,82,65,41,Lavangadi Vati
85,61,65,41,Punarnava Churna
101,26,13,41,Amritadi Guggulu
45,82,65,41,"Tankana Bhasma/
Saubhagya Bhasma"
37,69,65,41,Arjuna Churna
49,46,65,41,Bala Taila
15,54,65,41,"Shveta
Parpati/Kshara
Parpati"
6,98,41,0,Simhanada Guggulu
107,30,65,41,Prasarini Taila
60,105,65,41,"Khadiradi Gutika
(Mukhroga)"
117,101,65,41,Jatyadi Taila
63,105,65,41,"Trinapanchamula
Kvatha Churna"
84,39,15,31,"Haridrakhanda
Paka"
20,105,65,41,"Balashvagandhadi
Taila"
18,72,60,41,Jatiphaladya Churna
63,105,65,41,"Trinapanchamula
Kvatha Churna"
86,54,21,41,Chandanasava
